,mean,std
0,430.488379693266,31.48422661279079
1,688.3545706064385,11.803220936126182
2,687.6157496723471,9.306777323545237
3,689.8008404649153,11.517192678534352
4,684.7035515948133,11.558377279367898
5,682.8154684630024,45.6440235385939
6,685.8189233813907,12.115562297059425
7,679.5758594488368,44.33871984013291
8,688.5562369135131,13.585697296973649
9,684.5293536078741,12.06176263633961
10,672.2436392774455,57.6757322782071
11,690.4864960959311,11.241758054764723
12,684.2620259480174,11.192899674212596
13,692.4883896613517,9.707952436086888
14,693.3285251897662,10.486643995618756
15,678.8583898427913,39.254551913710735
16,686.0373449959266,9.054516824206848
17,688.0860125645222,12.999473497243608
18,691.1999175962956,9.475474726594182
19,690.0201134645383,14.11007893578297
